catalog,detaillink,location,name,number,time
技术类,position_detail.php?id=30937&keywords=&tid=0&lid=0,上海,20503-深度学习训练平台研发高级工程师（上海）,1,2017-06-17
技术类,position_detail.php?id=30938&keywords=&tid=0&lid=0,深圳,20503-优图 -  服务运营开发工程师（上海）,1,2017-06-17
技术类,position_detail.php?id=30930&keywords=&tid=0&lid=0,上海,MIG09-QQ浏览器社区前端高级开发工程师,1,2017-06-17
技术类,position_detail.php?id=30932&keywords=&tid=0&lid=0,上海,MIG03-手机浏览器设计组长（深圳）,1,2017-06-17
产品/项目类,position_detail.php?id=30933&keywords=&tid=0&lid=0,深圳,20503-Linux后台研发高级工程师（上海）,1,2017-06-17
产品/项目类,position_detail.php?id=29454&keywords=&tid=0&lid=0,深圳,18402-商业分析经理,1,2017-06-17
产品/项目类,position_detail.php?id=30922&keywords=&tid=0&lid=0,深圳,22989-大数据和人工智能（高级）产品总监（深圳）,1,2017-06-17
技术类,position_detail.php?id=30934&keywords=&tid=0&lid=0,上海,20503-Web前端开发工程师（上海）,1,2017-06-17
产品/项目类,position_detail.php?id=29507&keywords=&tid=0&lid=0,深圳,18402-渠道分析经理（投资渠道）,1,2017-06-17
技术类,position_detail.php?id=30923&keywords=&tid=0&lid=0,上海,22989-大数据和人工智能（高级）研发总监（深圳）,1,2017-06-17
产品/项目类,position_detail.php?id=30401&keywords=&tid=0&lid=0,深圳,18403-移动游戏渠道平台产品经理,1,2017-06-17
市场类,position_detail.php?id=29373&keywords=&tid=0&lid=0,上海,23292-互娱高级赛事品牌经理（上海）,1,2017-06-17
设计类,position_detail.php?id=30935&keywords=&tid=0&lid=0,深圳,20503-移动端开发性能优化高级工程师（上海）,1,2017-06-17
技术类,position_detail.php?id=30027&keywords=&tid=0&lid=0,深圳,22989-大客户售后技术支持（深圳）,2,2017-06-17
产品/项目类,position_detail.php?id=30926&keywords=&tid=0&lid=0,深圳,TEG03-合作拓展经理（深圳）,1,2017-06-17
产品/项目类,position_detail.php?id=29509&keywords=&tid=0&lid=0,深圳,18402-综合运营负责人（深圳）,1,2017-06-17
技术类,position_detail.php?id=29755&keywords=&tid=0&lid=0,北京,SNG16-QQ音乐Android应用开发工程师（北京）,1,2017-06-17
产品/项目类,position_detail.php?id=30786&keywords=&tid=0&lid=0,深圳,HY1-企鹅风讯后台开发工程师（上海）,1,2017-06-17
产品/项目类,position_detail.php?id=30402&keywords=&tid=0&lid=0,深圳,18403-移动游戏运营经理（创新品类）,1,2017-06-17
